page,title,total_internal_outbound_links,total_internal_outbound_links_to_crawled_pages,total_internal_inbound_links,depth_from_homepage,is_orphan_page,has_lt_5_inbound_links,has_gt_50_outbound_links,holiday_primary_category,holiday_inferred_tags,structural_weakness_score,authority_hub_score
/holiday/international-potato-chip-day/,International Potato Chip Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/international-radiography-day/,International Radiography Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,arts_culture,arts_culture,4,14.24
/holiday/international-respect-for-chickens-day/,International Respect for Chickens Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/international-sloth-day/,International Sloth Day — Obscure Holiday Calendar,27,27,5,2,no,no,no,fun_weird_general,fun_weird_general,4,7.24
/holiday/international-sushi-day/,International Sushi Day — Obscure Holiday Calendar,27,27,7,2,no,no,no,fun_weird_general,fun_weird_general,4,9.24
/holiday/international-talk-like-a-pirate-day/,International Talk Like a Pirate Day — Obscure Holiday Calendar,27,27,7,2,no,no,no,fun_weird_general,fun_weird_general,4,9.24
/holiday/international-tongue-twister-day/,International Tongue Twister Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/international-trampoline-day/,International Trampoline Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/international-women-s-day/,International Women's Day — Obscure Holiday Calendar,27,27,5,2,no,no,no,fun_weird_general,fun_weird_general,4,7.24
/holiday/irish-coffee-day/,Irish Coffee Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,food_drink,food_drink,4,14.24
/holiday/its-my-party-day/,Its My Party Day — Obscure Holiday Calendar,25,24,8,2,no,no,no,arts_culture,arts_culture,4,10.0
/holiday/just-because-day/,Just Because Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/kid-inventors-day/,Kid Inventors' Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/kiss-and-make-up-day/,Kiss and Make Up Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/korean-american-day/,Korean American Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/krampusnacht/,Krampusnacht — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
/holiday/lamington-day/,Lamington Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/leap-day/,Leap Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
