date,name,category,emoji,floating
06-19,National Watch Day,Work & Technology,⌚,False
06-19,World Sauntering Day,Kindness & Relationships,🚶,False
06-20,National Ice Cream Soda Day,Food & Drink,🍨,False
06-20,National Vanilla Milkshake Day,Food & Drink,🥤,False
06-21,Go Skateboarding Day,Wellness & Self-Care,🛹,False
06-21,World Giraffe Day,Animals & Nature,🦒,False
06-22,National Onion Rings Day,Food & Drink,🧅,False
06-22,World Rainforest Day,Animals & Nature,🌳,False
06-23,Let It Go Day,Wellness & Self-Care,🕊️,False
06-23,National Hydration Day,Wellness & Self-Care,💧,False
06-24,International Fairy Day,Fun & Weird (uncategorized),🧚‍♀️,False
06-24,Swim a Lap Day,Wellness & Self-Care,🏊,False
06-25,National Catfish Day,Animals & Nature,🐟,False
06-25,National Strawberry Parfait Day,Food & Drink,🍓,False
06-26,National Chocolate Pudding Day,Food & Drink,🍮,False
06-26,National Coconut Day,Food & Drink,🥥,False
06-27,National Sunglasses Day,Wellness & Self-Care,😎,False
06-27,Orange Blossom Day,Fun & Weird (uncategorized),🌸,False
06-28,National Tapioca Day,Food & Drink,🧋,False
06-28,Paul Bunyan Day,Fun & Weird (uncategorized),🪓,False
06-29,Hug Holiday Day,Arts & Culture,🤗,False
06-29,National Camera Day,Work & Technology,📸,False
06-30,Meteor Watch Day,Animals & Nature,🌠,False
06-30,National OOTD Day,Wellness & Self-Care,✨,False
07-01,Creative Ice Cream Flavors Day,Food & Drink,🍦,False
07-01,International Joke Day,Arts & Culture,😂,False
07-02,I Forgot Day,Fun & Weird (uncategorized),🤔,False
07-02,World UFO Day,Fun & Weird (uncategorized),👽,False
07-03,National Chocolate Wafer Day,Food & Drink,🍫,False
07-03,National Eat Your Beans Day,Food & Drink,🫘,False
07-04,National Barbecued Spareribs Day,Food & Drink,🍖,False
07-04,Sidewalk Egg Frying Day,Fun & Weird (uncategorized),🍳,False
07-05,National Apple Turnover Day,Food & Drink,🍎,False
07-05,Workaholics Day,Work & Technology,😵,False
07-06,International Kissing Day,Fun & Weird (uncategorized),💋,False
07-06,National Fried Chicken Day,Food & Drink,🍗,False
07-07,Tell the Truth Day,Fun & Weird (uncategorized),🗣️,False
07-07,World Chocolate Day,Food & Drink,🍫,False
07-08,National SCUD Day,Wellness & Self-Care,😂,False
07-08,National Video Game Day,Work & Technology,🎮,False
07-09,National Sugar Cookie Day,Food & Drink,🍪,False
07-09,No Bra Day,Awareness & Advocacy,👐,False
07-10,National Piña Colada Day,Food & Drink,🍍,False
07-10,Teddy Bear Picnic Day,Food & Drink,🐻,False
07-11,Cheer Up the Lonely Day,Kindness & Relationships,💖,False
07-11,National 7-Eleven Day,Fun & Weird (uncategorized),🏪,False
07-12,National Pecan Pie Day,Food & Drink,🥧,False
07-12,National Simplicity Day,Wellness & Self-Care,🌿,False
07-13,Embrace Your Geekness Day,Wellness & Self-Care,🤓,False
07-13,French Fries Day,Food & Drink,🍟,False
07-14,National Mac and Cheese Day,Food & Drink,🧀,False
07-14,Pandemonium Day,Fun & Weird (uncategorized),🤯,False
07-15,Give Something Away Day,Wellness & Self-Care,🎁,False
07-15,Gummy Worm Day,Fun & Weird (uncategorized),🐛,False
07-16,Guinea Pig Appreciation Day,Animals & Nature,🐹,False
07-16,National Corn Fritters Day,Food & Drink,🌽,False
07-17,Peach Ice Cream Day,Food & Drink,🍑,False
07-17,World Emoji Day,Fun & Weird (uncategorized),🤣,False
07-18,Caviar Day,Food & Drink,🥄,False
07-18,National Sour Candy Day,Food & Drink,🍋,False
07-19,National Daiquiri Day,Food & Drink,🍹,False
07-19,Stick Out Your Tongue Day,Fun & Weird (uncategorized),😛,False
07-20,Lollipop Day,Food & Drink,🍭,False
07-20,Moon Day,Animals & Nature,🌕,False
07-21,Lamington Day,Food & Drink,🍰,False
07-21,National Junk Food Day,Food & Drink,🍟,False
07-22,National Hammock Day,Food & Drink,🌴,False
07-22,Rat Catcher’s Day,Animals & Nature,🐀,False
07-23,National Gorgeous Grandma Day,Kindness & Relationships,👵,False
07-23,Vanilla Ice Cream Day,Food & Drink,🍦,False
07-24,Cousins Day,Kindness & Relationships,🫂,False
07-24,National Tequila Day,Food & Drink,🍹,False
07-25,Carousel Day,Fun & Weird (uncategorized),🎠,False
07-25,National Wine and Cheese Day,Food & Drink,🍷🧀,False
07-26,All or Nothing Day,Fun & Weird (uncategorized),🎯,False
07-26,National Aunt and Uncle Day,Kindness & Relationships,🤗,False
07-27,National Crème Brûlée Day,Food & Drink,🍮,False
07-27,Take your Houseplant for a Walk Day,Animals & Nature,🪴,False
07-28,National Milk Chocolate Day,Food & Drink,🍫,False
07-28,National Waterpark Day,Fun & Weird (uncategorized),🌊,False
07-29,National Lasagna Day,Food & Drink,🍝,False
07-29,Rain Day,Animals & Nature,🌧️,False
07-30,National Cheesecake Day,Food & Drink,🍰,False
07-30,Paperback Book Day,"Science, History & Curiosities",📚,False
07-31,National Avocado Day,Food & Drink,🥑,False
07-31,National Raspberry Cake Day,Food & Drink,🍰,False
08-01,National Girlfriends Day,Kindness & Relationships,💖,False
08-01,National Raspberry Cream Pie Day,Food & Drink,🥧,False
08-02,Coloring Book Day,"Science, History & Curiosities",🎨,False
08-02,National Ice Cream Sandwich Day,Food & Drink,🍦,False
08-03,Grab Some Nuts Day,Food & Drink,🥜,False
08-03,National Watermelon Day,Food & Drink,🍉,False
08-04,National Chocolate Chip Cookie Day,Food & Drink,🍪,False
08-04,National Sisters Day,Kindness & Relationships,👭,False
